City;Total Length of Segments (km);Total Area (sq.km);Total Number of Building Blocks;Total Number of GIS Records;Street & Crossing Segments;Street & Crossing Segments (%);Only Crossing Segments;Only Crossing Segments (%);Only Street Segments;Only Street Segments (%);No Data Segments;No Data Segments (%)
Amsterdam;252.5;7.6;699;2743;1105;40.28;13;0.47;1522;55.49;103;3.76
Antwerp;134.8;3.4;348;1501;691;46.04;20;1.33;759;50.57;31;2.07
Athens;323.9;7;1183;4905;2820;57.49;50;1.02;1953;39.82;82;1.67
Barcelona;243.1;7.5;494;2022;1691;83.63;12;0.59;307;15.18;12;0.59
Bari;71;1.6;214;908;677;74.56;25;2.75;199;21.92;7;0.77
Bilbao;77.3;2.1;177;753;483;64.14;20;2.66;250;33.2;0;0
Birmingham;257.7;7.8;473;3035;1123;37;79;2.6;1833;60.4;0;0
Bologna;160.8;4.3;403;1985;737;37.13;131;6.6;1111;55.97;6;0.3
Bordeaux;144.7;3.6;366;1702;817;48;75;4.41;781;45.89;29;1.7
Bratislava;124;4.2;224;1063;491;46.19;34;3.2;480;45.16;58;5.46
Brno;79;3.2;128;620;303;48.87;13;2.1;295;47.58;9;1.45
Brussels;167.2;4.2;429;1890;1020;53.97;60;3.17;767;40.58;43;2.28
Bucharest;414.8;13.9;779;4040;2138;52.92;69;1.71;1606;39.75;227;5.62
Budapest;114.7;3.1;264;1093;604;55.26;11;1.01;472;43.18;6;0.55
Copenhagen;187.7;6.2;388;1685;878;52.11;27;1.6;780;46.29;0;0
Dublin;216.9;5.8;472;3079;1459;47.39;58;1.88;1518;49.3;44;1.43
Florence;129.3;3.3;356;1632;698;42.77;75;4.6;837;51.29;22;1.35
Glasgow;118.5;3;274;1304;849;65.11;8;0.61;409;31.37;38;2.91
Gothenburg;72.4;1.8;196;868;510;58.76;28;3.23;320;36.87;10;1.15
Krakow;155.1;5.4;289;1350;631;46.74;30;2.22;651;48.22;38;2.81
Leeds;60.1;1.4;161;793;300;37.83;18;2.27;450;56.75;25;3.15
Lille;91.1;3;201;931;510;54.78;42;4.51;374;40.17;5;0.54
Lisbon;268.8;6.3;724;3602;1629;45.22;149;4.14;1513;42;311;8.63
Ljubljana;107.9;4.3;206;1027;394;38.36;64;6.23;449;43.72;120;11.68
London;779.8;21.9;1692;8590;3918;45.61;198;2.31;4199;48.88;275;3.2
Luxembourg;33.9;1.1;81;359;135;37.6;9;2.51;210;58.5;5;1.39
Lyon;164.1;3.4;509;2185;1532;70.11;56;2.56;574;26.27;23;1.05
Madrid;226.2;5.1;606;2606;1424;54.64;31;1.19;1134;43.51;17;0.65
Malaga;110.6;3.2;420;2002;549;27.42;27;1.35;1385;69.18;41;2.05
Malmo;70.3;1.8;176;748;344;45.99;20;2.67;381;50.94;3;0.4
Manchester;172.8;3.8;478;2412;1227;50.87;57;2.36;1051;43.57;77;3.19
Marseille;135.5;3;424;1917;933;48.67;52;2.71;891;46.48;41;2.14
Milan;299.6;9.5;675;3145;1563;49.7;149;4.74;1400;44.52;33;1.05
Montpellier;56.9;1.1;230;967;126;13.03;14;1.45;801;82.83;26;2.69
Nice;101.9;2.2;323;1407;764;54.3;32;2.27;568;40.37;43;3.06
Oslo;71.2;2.4;164;735;318;43.27;26;3.54;345;46.94;46;6.26
Palermo;137;2.2;567;2698;1009;37.4;80;2.97;1093;40.51;516;19.13
Paris;598.5;18;1414;6358;3848;60.52;426;6.7;2058;32.37;26;0.41
Plovdiv;128.7;3;345;1625;777;47.82;11;0.68;761;46.83;76;4.68
Poznan;99.6;4;170;785;402;51.21;61;7.77;298;37.96;24;3.06
Prague;138.2;4.2;290;1434;694;48.4;59;4.11;673;46.93;8;0.56
Riga;117.2;4.3;216;930;540;58.06;9;0.97;348;37.42;33;3.55
Rome;246.7;6.1;695;3189;1416;44.4;100;3.14;1562;48.98;111;3.48
Rotterdam;145;4.4;311;1518;578;38.08;15;0.99;863;56.85;62;4.08
Seville;195.5;4.1;601;2959;994;33.59;84;2.84;1655;55.93;226;7.64
Sofia;247.4;7;565;2439;1646;67.49;25;1.03;699;28.66;69;2.83
Stockholm;143.8;4.2;302;1348;789;58.53;18;1.34;521;38.65;20;1.48
Strasbourg;44.2;0.8;169;790;176;22.28;8;1.01;594;75.19;12;1.52
Tallinn;95.5;3.3;160;853;379;44.43;23;2.7;445;52.17;6;0.7
Thessaloniki;139.4;3.7;419;1790;887;49.55;41;2.29;816;45.59;46;2.57
Toulouse;172;4.6;399;1905;935;49.08;86;4.51;858;45.04;26;1.36
Turin;148.7;3.6;425;1800;1151;63.94;37;2.06;610;33.89;2;0.11
Valencia;138.6;2.5;550;2376;810;34.09;25;1.05;1523;64.1;18;0.76
Vienna;107.1;2.8;282;1208;603;49.92;7;0.58;590;48.84;8;0.66
Vilnius;189.2;9.1;244;1247;602;48.28;44;3.53;558;44.75;43;3.45
Warsaw;140.3;6;190;1007;505;50.15;25;2.48;404;40.12;73;7.25
Wroclaw;95.8;3.4;186;928;412;44.4;10;1.08;452;48.71;54;5.82
Zagreb;82.5;3;149;637;455;71.43;19;2.98;158;24.8;5;0.78
Zurich;75;1.6;226;1149;212;18.45;20;1.74;498;43.34;419;36.47
